label|text
o|Uh-huh.
q|Who's this priest I'm thanking?
d|That's right.
o|Nice to meet you, Ma'am.
d|Read a lot about you, Nick.
o|I... submit to Our Lord.
d|It's not a Nelwyn baby.
d|I met a Presidential aide once at a social occasion.
d|I gave up my castles and my lands!
q|What can I do for you?
o|Good luck, sir.
q|Where can we go?
d|Clients come and go.
d|It relaxes me.
d|Merlin, I didn't know --
d|I haven't read that.
d|You hunt us like animals -- do you know how many you have slaughtered?!
c|Pull it right now or I'll blow your fucking head off and pull it myself!
d|I didn't.
q|So why did you come to my casino?
d|We provide opera.
q|Jon, where are we?
c|No, let's go.
q|Are you telling me Friedman didnt tell you I was here looking for him?
d|Gonna pluck us off the tit.
d|Yeah, cured polio.
d|Mom, I heard someone downstairs!
d|We're not talking, you're talking, and doing too damn much of it, if you ask me.
d|Maybe they're as scared of us as we are of them.
q|Did ya get the message, kid?
d|Just because it's a love story doesn't mean it can't have a decapitation or two.
d|We've certainly been in some swell jams.
d|He understands me fine.
o|Nothing you can't show up for with a stain.
d|I still don't see you.
q|No, what?
q|What's in the back?
d|I think he was running a test on an old rocket engine... and one of the fuel cells burst.
d|The power went out in half the park.
c|Go to sleep.
q|It worked out alright, didn't it?
c|Forget about it.
d|I wouldn't say anything--I would act.
d|All the time I've known you, you've never once asked about him.
q|What's your twenty?
d|Whoever they are -- this goes right back to Dallas -- it goes right back to the bombing --
q|You're saying God did it?
o|Hi, Dad.
d|I can spare me...
d|NO, YOU HAVE TO KILL ME.
d|With light clothing and no supplies, this is nobody's territory.
q|He was in love with you, right?
q|Don't you ever stop talking?
d|No, it grosses me out even thinking of putting something in my eye.
q|How's it going?
d|They're powering their forward weapons array.
d|I'm not even good for me.
d|They're in the approach corridor.
q|Can I have this?
d|I don't know, maybe you did kill somebody.
q|Did he come here too?
d|So talk to us about something.
q|Benjamin, is this your first time?
q|But, if they send you away, then what is to become of me?
o|You got to be fucking joking.
d|We just smeared a skunk.
d|Well, the twelve o'clock show is completely different than the nine.
d|Quantum is up thirty-five.
q|Will he wish to know the details of this night?
d|Ugh, I hate when that happens.
q|Yes, aren't you?
d|Jack was only at that branch once when he took the box years ago.
q|What about his first born?
q|Where did he get a hundred grand?
d|You're a policeman.
o|Not a Plymouth Fury, I bet.
o|Oh, come on.
d|Kind of wish I didn't.
q|Scotty -- what's left?
q|You didn't bother to find out, did you?
d|I'll take him.
d|I wish you wouldn't.
q|It's doing what?
q|Is this where you live?
d|That's where my father was killed.
q|You worried about the cost?
q|You want to ask me a question?
c|Sonny, be reasonable!
d|I don't have a pre-nup
o|Like I'm going to pay twenty bucks to see Neil Moynihan in some band that I helped start.
q|What's the story?
q|She has all the cooking talent.
