label|text|id_str|handle
0|RT @Juul16261: @Alfred_ot2017 @eurovision_tve @Eurovision #12PointsSpain  #EuropeVoteTheSong2  MUSIC..LOVE ....ALWAYS WIN|tw995012739692036096|@AbueloFernando_
1|RT @sofie_druckrey: what if the green light that gatsby saw across the water was daisy hitting her juul|tw991859635014385665|@katecoulterr
1|RT @alxsatrum: Not being addicted to nicotine😍 https://t.co/lJa0Wsmz3M|tw1039602702517510145|@OTDVicky
1|@mishtiicy is juuling another version of vaping or...|tw1040956109354295296|@div_biv
1|RT @_Kebby_T: forget your juul, just walk outside and take a deep breath of this air and you’ll catch a nice dome|tw1025282032736206850|@ash_rudd0
1|RT @reyjaybro: Cults in Mckinney: - Imagine  - stone bridge moms  - teens with juuls - people who go to Erwin  - the vive - band kids - kin…|tw1015667863984754688|@elohhhell
1|Juul e-cigarettes are 'in' with today's teens. Here's how the FDA is cracking down https://t.co/kxMXqxrVCi via @usatoday #juuls|tw991658166483070977|@HardinLib
1|RT @aboutchintan: The fact that United States almost...ALMOST beat underage smoking/nicotine addiction and then y’all dumbasses started “JU…|tw1030312549290524672|@carlaimsecond
0|RT @yungstraw: daughter: mom why is my friend named rose? me: because her mom loves roses daughter: then why am i named- me: be quiet Cool…|tw996245383482302464|@_skylerrrrr_
1|Watching people not be able to function because they’re so addicted to their juuls and don’t have them is kinda sad… https://t.co/7PeneQLIxb|tw992435078100905985|@Tan_Man_12
1|ended the day with 63 subs ily all so much goodnight &lt;3 #juulnayshe https://t.co/0NLQA9EKPb|tw1026393729655955456|@xoxabstract
1|RT @Coldh4rt: Put ur juul on someone chain if it sticks it’s fake|tw1012927775328653314|@Jeremyy_flame
1|RT @ginapple_: a woman just hit her juul on the plane &amp; a little boy screamed “MOM you are NOT allowed to smoke here” smh imagine raising a…|tw1023274074301181954|@tbjavon
1|Whenever anyone gets kicked out of Drum for JUULing https://t.co/o5wsPtXfdD|tw1008734845583978502|@blacksheep_uic
1|RT @hooliajulia17: Juuls are stupid  Quit smoking flashdrives you fuckin weirdos https://t.co/AYJzWQndSY|tw1004556052514443266|@_dbri
1|RT @aboutchintan: The fact that United States almost...ALMOST beat underage smoking/nicotine addiction and then y’all dumbasses started “JU…|tw1030450631109160965|@Ha_u_wishh
0|RT @crownjuul: I love being ethnically ambiguous because whenever someones about to make a racist joke around me they’re like “wait no she…|tw1024134967109009408|@DewShpag
1|someone signed up for juul with my email so i keep getting emails im literally so angry leave me alone|tw1029745393763078144|@ottbnoodle
1|RT @SarahKannenberg: accidentally juuled in front of my mom but she only saw the smoke and goes “what was that” so i immediately said ”oh m…|tw1008170372078768128|@KimberlyOium
1|RT @mineifiwildout: bumping this new russ in the jeep god i hope my fuckin juul doesn't die before baseball practice|tw994448533356007424|@raylin333
1|RT @stephgarciaaaa: Juuls are the lamest fucking things on the planet https://t.co/oAz34oS96o|tw1001625382007828480|@tyler1hundo
1|RT @g0fuckthyself: bromeo can i hit your juuliet|tw1045026553120411648|@jadawithani
1|RT @lilsasquatch66: White person: [hits juul]  Other white person: give me your keys you aren’t driving home|tw1019010107756040192|@sam_stearmann
1|RT @FlashStriker: It’s August. Finish that book. Kiss that girl. Buy that fit. Hit that Juul. Milly that rock. Hell is approaching.|tw1025533372456755200|@oceandusttt
1|The year is 2065 and juul pods are the US currency. All beings are dependent on nicotine and the yodel boy is the President.|tw996513954422841346|@Ice18Owens
1|RT @jackieee_beee: I got scared that it was actually cold enough to see my breath outside turned out it was somebody’s juul :////|tw1045361076089622529|@charlotteloewes
0|@okkokari @kaylaaherbinko @codysjuul @awfficial fuvk i miss you n shawn is my loverrr|tw1031635750234845187|@caitlinharse
0|I’ll never forget the day my friend was going 70 in a 35 &amp; then the cop pulls us over &amp; begins to explain how speed… https://t.co/nrqx1nGzwr|tw1022501531826958337|@oldcheapwine
1|RT @bigkneees: fuck u know about that tech deck juul https://t.co/7AU7r1b62C|tw1011695188379566081|@laneyvnol
1|RT @TrashyeWest: Bruh Cookie Monster off 7 percs https://t.co/Re09sKG1BN|tw1009846914903310336|@_castillo21
1|RT @g0fuckthyself: bromeo can i hit your juuliet|tw1045088126723649536|@juliethermelee
1|I have been hacked by my juul.. help|tw1031780539303374849|@kcreekmur3
1|RT @VoidBo: y’all will suck entire juul pods thru your urethra but as soon as i pull out a cigarette i’m the crackhead|tw1035809238319169536|@lilshitface
1|Once during my crackhead days i googled diy juul Charger and i was really about to cut open a bunch of wires to rip a juul|tw994331816386617350|@Thuprume
1|RT @jamescharles: the fda cracking down on juuls is actually such good news i’m really scared and tired of seeing 13 year olds with nicotin…|tw1040631671396163587|@EimerRaleigh
1|RT @Raeequaza: Does anyone know the best flavor of juul pods? When i smoked cigs i liked menthol but i heard mango is ok now that the baby…|tw1016069746683506688|@sarahd0825
0|RT @crownjuul: Much like how the Titanic band didn’t stop playing as the ship sank, I too will keep masturbating as this Target burns to th…|tw1043257497006616577|@gaypacito
0|@juullss my baby julssss💙|tw1037549823728054272|@flacuchissss
